Date,Close/Last,Volume,Open,High,Low
12/12/2025,613.62,75158730,622.08,623.54,611.36
12/11/2025,625.58,58272840,623.82,625.78,617.72
12/10/2025,627.61,55031380,623.85,629.21,620.99
12/09/2025,625.05,37156000,623.01,625.87,621.00
12/08/2025,624.28,43462410,627.21,628.84,621.69
12/05/2025,625.48,53614170,624.38,628.92,623.71
12/04/2025,622.94,47067750,624.93,624.94,619.54
12/03/2025,623.52,47841630,619.62,624.22,618.03
12/02/2025,622.00,54541830,619.46,623.75,617.59
12/01/2025,617.17,40957590,613.63,619.4401,612.52
11/28/2025,619.25,23034390,616.11,619.32,615.4174
11/26/2025,614.27,42393600,612.51,616.19,610.39
11/25/2025,608.89,57560870,603.51,610.2601,597.32
11/24/2025,605.16,60168150,595.28,606.68,595.16
11/21/2025,590.07,103344200,587.47,596.98,580.74
11/20/2025,585.67,117743200,611.62,614.03,584.75
11/19/2025,599.87,73111490,597.07,606.16,594.59
11/18/2025,596.31,83327280,599.62,602.31,591.34
11/17/2025,603.66,63850370,606.30,612.48,599.87
11/14/2025,608.86,80087290,599.55,613.35,597.17
11/13/2025,608.40,71333630,617.54,618.12,606.08
11/12/2025,621.08,47444380,624.84,624.86,617.81
11/11/2025,621.57,44868840,620.57,622.72,617.52
11/10/2025,623.23,55919930,618.92,624.31,616.89
11/07/2025,609.74,81835390,608.31,609.95,598.67
11/06/2025,611.67,72115130,621.79,622.04,610.30
11/05/2025,623.28,48688480,618.49,626.60,617.21
11/04/2025,619.25,63830770,623.28,626.95,618.455
11/03/2025,632.08,37154310,635.11,635.82,629.85
10/31/2025,629.07,66305150,634.17,634.20,626.69
10/30/2025,626.05,61628620,632.17,633.50,625.94
10/29/2025,635.77,67422810,635.59,637.01,630.25
10/28/2025,632.92,61195730,630.36,634.68,629.25
10/27/2025,628.09,54098610,624.52,628.55,624.03
10/24/2025,617.10,47632470,615.99,618.42,615.13
10/23/2025,610.58,42844300,604.91,611.37,604.52
10/22/2025,605.49,61478800,610.82,611.41,599.74
