Date,Close/Last,Volume,Open,High,Low
12/12/2025,87.34,47030120,87.375,87.495,87.19
12/11/2025,88.19,26778690,88.69,88.83,88.16
12/10/2025,88.31,46833510,88.00,88.52,87.855
12/09/2025,87.97,25771790,88.34,88.345,87.84
12/08/2025,87.88,32255200,88.185,88.20,87.56
12/05/2025,88.17,32808070,88.55,88.55,88.045
12/04/2025,88.58,25541460,88.91,88.93,88.48
12/03/2025,89.06,23278580,88.92,89.155,88.74
12/02/2025,88.81,27605680,88.575,88.955,88.46
12/01/2025,88.77,47086650,88.845,88.99,88.71
11/28/2025,90.21,40704290,90.46,90.5299,89.95
11/26/2025,90.64,34098960,90.15,90.64,89.83
11/25/2025,90.24,36503340,90.31,90.59,90.13
11/24/2025,90.01,30865700,89.95,90.0665,89.7801
11/21/2025,89.50,41938630,89.65,89.67,89.195
11/20/2025,89.23,32945000,88.99,89.42,88.985
11/19/2025,88.88,25782380,89.225,89.31,88.85
11/18/2025,89.06,31967440,89.35,89.45,88.80
11/17/2025,89.09,25605780,89.08,89.30,88.98
11/14/2025,88.87,38550500,89.79,89.835,88.87
11/13/2025,89.38,33825910,89.80,89.94,89.38
11/12/2025,90.12,23594940,89.95,90.32,89.88
11/11/2025,89.96,18942300,89.95,90.065,89.775
11/10/2025,89.55,24093450,89.49,89.67,89.385
11/07/2025,89.57,28530050,89.355,89.87,89.355
11/06/2025,89.76,33027350,89.56,89.85,89.53
11/05/2025,88.96,44643440,89.51,89.545,88.88
11/04/2025,89.94,26383780,89.78,90.06,89.74
11/03/2025,89.74,40752280,89.62,89.82,89.42
10/31/2025,90.29,38247270,90.56,90.66,90.20
10/30/2025,90.56,42649220,90.39,90.97,90.3544
10/29/2025,91.09,39551590,91.88,91.89,91.015
10/28/2025,92.02,23564520,91.85,92.175,91.81
10/27/2025,91.78,30033570,91.32,91.79,91.0944
10/24/2025,91.47,28265990,91.585,91.60,91.16
10/23/2025,91.43,28275140,91.61,91.7851,91.29
10/22/2025,92.06,30496150,91.991,92.175,91.82
10/21/2025,92.00,24514340,91.99,92.185,91.9101
10/20/2025,91.55,28429280,91.46,91.56,91.28
10/17/2025,91.20,40240380,91.25,91.29,90.90
10/16/2025,91.34,39631150,90.515,91.495,90.45
10/15/2025,90.66,31333910,90.955,91.30,90.47
10/14/2025,90.86,29800000,90.65,90.915,90.43
10/13/2025,90.57,28035540,90.28,90.58,89.86
10/10/2025,90.62,59389370,89.98,90.72,89.90
10/09/2025,89.18,21578690,89.17,89.29,89.005
10/08/2025,89.25,22506240,89.60,89.615,89.13
10/07/2025,89.18,29103350,88.97,89.38,88.812
10/06/2025,88.67,28370980,88.71,89.155,88.65
10/03/2025,89.38,25884470,89.63,89.72,89.27
10/02/2025,89.55,23208340,89.31,89.69,89.19
10/01/2025,89.29,39408910,89.45,89.64,89.09
09/30/2025,89.37,38583990,89.66,90.04,89.21
